Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,28.0,28.0,28.1,28.1,28.2,28.2,28.5,28.5,28.4,28.5,28.5,28.7
2015,28.7,28.7,28.8,28.9,28.9,29.0,28.9,28.9,28.7,28.7,28.7,28.8
2016,29.1,29.1,29.0,29.1,29.1,29.1,29.5,29.6,29.5,29.4,29.4,29.4
2017,29.5,29.4,29.5,29.3,29.4,29.5,29.5,29.5,29.5,29.5,29.6,29.6
2018,29.6,29.5,29.7,29.7,29.6,29.7,29.7,29.7,29.6,29.8,29.7,29.7
2019,29.6,29.7,29.8,30.0,30.1,30.2,30.2,30.1,30.0,30.2,30.1,30.0
2020,30.1,29.9,29.8,26.9,26.8,26.6,26.4,26.4,26.0,26.3,26.4,26.5
2021,26.7,26.5,26.7,27.0,27.1,27.3,27.5,27.5,27.5,27.8,27.8,27.8
2022,27.7,27.6,27.7,27.8,27.8,27.7,27.8,27.8,28.0,27.9,27.9,27.8
2023,27.8,27.9,27.9,27.9,27.8,27.9,27.9,27.9,27.6,27.4,27.3,27.1
2024,27.0,27.0,26.9,26.9,26.8,26.8(P),,,,,,
