Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,80.5,80.7,80.5,80.8,80.8,81.0,81.0,81.2,81.4,81.7,82.1,82.2
2015,82.7,83.4,83.3,83.3,83.8,84.1,84.0,84.2,84.2,84.9,85.0,85.2
2016,84.3,84.1,84.5,84.8,84.8,84.8,85.6,85.5,85.6,85.1,85.2,85.3
2017,85.9,85.6,85.8,86.3,86.4,86.0,87.5,87.1,87.9,87.8,87.4,88.1
2018,87.9,88.0,88.3,87.6,87.3,88.0,87.3,87.5,87.5,87.4,87.8,87.7
2019,87.3,87.7,87.7,87.7,87.5,87.0,87.9,88.0,88.5,88.3,88.3,88.1
2020,88.9,88.6,87.9,76.5,79.6,82.0,82.5,82.1,81.2,82.3,83.1,83.8
2021,83.5,83.5,84.1,84.7,85.0,85.1,85.6,85.4,85.3,85.6,85.6,85.4
2022,85.5,86.3,86.2,86.3,85.9,85.7,86.0,86.1,86.4,87.4,87.6,88.0
2023,88.3,88.0,87.5,87.8,88.1,88.5,88.6,89.1,89.2,89.4,90.0,89.6
2024,89.9,90.0,90.6,90.8,90.8,90.9(P),,,,,,
