Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,35.1,34.8,34.9,35.3,35.4,35.5,35.8,36.2,36.4,36.3,36.8,37.2
2015,37.5,37.9,38.4,37.8,38.0,37.9,38.0,38.1,37.8,38.5,38.8,39.3
2016,39.8,40.3,40.8,41.1,41.2,41.3,41.9,42.1,42.5,42.3,42.9,42.9
2017,42.9,43.1,44.0,44.5,44.5,44.8,45.1,45.4,45.6,46.2,46.5,46.8
2018,47.1,47.8,47.7,48.0,48.7,49.4,49.4,49.8,50.1,50.4,50.6,50.4
2019,51.7,51.3,51.0,51.9,53.0,52.9,53.2,53.7,53.8,53.7,54.3,54.5
2020,55.0,55.0,55.4,53.6,55.3,55.7,55.6,55.9,56.5,57.0,57.5,58.2
2021,58.3,58.7,59.3,61.2,60.9,60.7,61.1,61.3,61.0,61.5,62.2,62.6
2022,64.0,64.8,65.1,65.1,65.1,65.9,67.3,67.4,67.3,67.5,67.8,67.1
2023,66.6,66.7,66.4,67.2,67.9,68.2,68.4,68.6,69.1,69.8,70.5,70.4
2024,70.8,71.2,71.6,71.1,71.5,72.0(P),,,,,,
