Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,64.7,65.1,65.4,65.4,65.8,66.4,66.2,66.3,65.7,66.4,66.4,66.6
2015,67.0,66.9,67.5,67.0,67.9,68.0,68.6,68.8,69.5,69.6,69.7,70.5
2016,71.0,71.5,71.5,71.4,71.4,72.0,72.5,72.8,72.9,73.4,73.7,73.9
2017,73.7,74.3,74.8,74.7,75.0,75.6,75.4,75.9,76.2,76.2,76.6,77.0
2018,77.6,77.8,78.3,78.8,79.1,79.6,79.4,79.2,80.0,80.5,80.7,81.6
2019,81.7,81.9,82.1,82.4,82.7,83.0,83.4,83.5,83.4,84.2,84.3,84.6
2020,84.8,84.9,83.9,50.8,62.1,72.5,74.4,75.8,77.8,78.8,78.7,79.0
2021,79.7,80.5,81.4,82.9,82.9,83.9,85.2,85.8,86.1,86.4,86.9,87.5
2022,87.8,88.5,88.7,88.6,88.0,87.6,88.3,88.7,89.2,89.5,90.4,90.6
2023,91.1,91.5,92.0,92.3,92.9,93.8,93.2,93.5,94.0,94.3,94.4,93.8
2024,93.5,94.3,94.4,93.5,95.0,94.8(P),,,,,,
