Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,22.1,22.2,22.4,22.5,22.6,22.6,22.7,22.8,22.9,22.8,22.8,22.8
2015,23.2,23.2,23.3,23.3,23.5,23.5,23.4,23.3,23.5,23.7,23.6,23.8
2016,23.8,23.9,24.0,24.0,24.2,24.1,24.5,24.4,24.4,24.5,24.5,24.4
2017,24.5,24.5,24.6,24.7,24.8,24.9,24.8,24.9,24.9,24.9,24.9,25.0
2018,25.3,25.2,25.2,25.2,25.4,25.5,25.5,25.7,25.6,25.9,26.0,26.1
2019,26.1,26.3,26.3,26.3,26.5,26.7,26.5,26.6,26.7,26.7,26.9,26.9
2020,26.9,26.9,26.9,22.4,23.7,24.7,25.0,25.2,25.3,25.7,25.6,25.6
2021,25.8,25.7,25.9,26.3,26.2,26.3,26.5,26.6,26.6,26.8,26.9,27.0
2022,27.0,27.2,27.3,27.3,27.3,27.4,27.6,27.8,27.8,27.9,28.0,28.1
2023,27.6,27.8,27.7,27.6,27.7,27.7,27.4,27.5,27.6,27.1,27.0,27.1
2024,26.9,26.9,27.0,26.7,26.8,26.3(P),,,,,,
