Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,92.2,92.2,92.2,92.8,93.0,92.8,93.3,93.6,93.3,94.0,93.9,94.4
2015,94.5,94.7,95.1,95.8,95.9,96.5,96.7,96.7,97.4,97.6,97.9,98.4
2016,97.9,98.2,98.6,98.1,98.7,99.0,99.5,99.8,100.7,100.2,100.6,100.5
2017,101.2,101.5,102.7,101.8,102.2,102.7,102.5,102.9,103.7,103.2,103.3,103.3
2018,104.5,105.1,105.4,105.4,105.9,106.2,106.8,107.2,106.4,108.1,108.1,108.9
2019,109.4,109.8,110.3,111.1,111.3,111.4,111.6,112.3,110.9,113.5,114.3,114.4
2020,114.8,115.0,115.0,105.0,108.4,111.0,111.3,113.0,112.2,114.7,115.0,115.7
2021,116.0,116.3,116.8,117.1,117.3,117.4,117.8,117.8,116.4,118.2,118.3,118.5
2022,119.2,119.6,120.3,120.3,120.5,121.0,122.0,122.2,122.6,122.9,123.4,123.7
2023,125.2,124.3,121.8,128.1,126.4,125.9,128.3,127.1,125.1,128.0,128.6,128.2
2024,130.3,130.5,130.3,130.6,132.1,133.0(P),,,,,,
