Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,81.1,82.3,82.3,82.7,82.0,81.8,81.0,81.1,81.8,82.3,82.1,82.5
2015,82.7,82.6,82.5,82.3,82.5,82.8,83.4,84.0,84.3,83.8,84.1,83.9
2016,85.4,86.0,86.6,87.5,87.6,87.7,88.4,88.4,88.5,89.2,90.0,90.0
2017,90.8,90.7,91.2,91.0,91.6,91.7,91.4,91.6,91.9,91.7,91.9,92.3
2018,92.2,93.3,93.4,94.0,93.7,94.7,94.7,94.8,94.7,95.4,95.4,95.2
2019,95.2,95.1,95.2,95.6,96.2,96.5,97.2,97.7,97.9,98.1,98.2,98.7
2020,99.2,99.4,99.7,94.3,96.4,97.5,97.7,98.2,99.0,100.3,100.4,101.1
2021,101.1,102.0,102.2,102.4,102.7,102.9,104.2,104.5,104.4,104.4,104.9,105.4
2022,105.7,105.9,106.6,107.0,107.1,107.5,108.1,108.2,108.3,108.9,109.1,108.6
2023,108.9,109.0,108.9,109.3,109.6,110.0,110.1,110.1,110.1,110.5,110.4,110.0
2024,110.8,111.1,110.3,110.8,111.9,113.0(P),,,,,,
