Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,128.0,128.0,128.4,129.1,129.2,129.8,129.7,129.7,129.8,130.2,130.8,131.1
2015,131.6,132.0,132.6,132.8,133.3,133.7,134.0,133.9,134.3,134.7,135.3,135.7
2016,134.8,135.5,135.7,136.0,135.6,135.6,136.2,136.6,137.2,137.3,137.5,137.4
2017,137.0,137.3,137.3,137.3,137.6,137.9,138.1,138.3,138.4,138.8,138.9,139.6
2018,139.8,140.2,140.1,140.3,141.1,141.3,141.6,142.2,142.1,141.8,142.0,142.1
2019,142.8,142.6,142.7,143.5,143.7,143.7,143.4,144.0,144.2,144.4,145.1,145.3
2020,145.8,145.4,145.6,133.3,139.0,143.3,144.3,145.8,146.9,148.2,149.7,151.5
2021,152.7,153.7,154.8,154.4,155.1,155.9,156.6,156.8,156.9,158.1,158.7,159.2
2022,159.5,160.7,160.9,160.5,160.5,160.2,160.6,160.5,160.5,160.6,160.9,161.6
2023,160.7,160.4,160.2,160.9,161.6,161.7,161.3,162.1,162.6,162.8,162.1,162.1
2024,160.5,161.8,162.9,163.2,164.2,163.8(P),,,,,,
