Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,195.9,196.8,196.4,198.2,199.9,201.4,202.6,203.8,205.0,206.7,208.0,210.3
2015,209.0,209.6,208.6,212.7,214.3,214.0,213.6,215.0,216.0,216.4,217.3,218.9
2016,218.9,219.8,220.3,219.6,217.4,218.1,218.4,218.7,218.6,219.4,220.4,218.8
2017,217.9,221.9,220.3,219.9,220.0,219.5,219.9,220.6,220.7,221.5,222.3,222.5
2018,223.3,225.1,228.1,224.5,226.2,227.5,226.8,226.6,227.3,227.1,226.1,226.8
2019,227.7,224.9,227.6,228.6,228.2,228.5,229.8,230.5,230.0,229.7,226.2,228.8
2020,229.9,228.0,224.6,200.3,208.3,212.4,214.3,215.7,214.2,217.4,217.7,219.6
2021,220.8,215.0,221.7,224.7,221.7,221.6,222.8,222.3,224.1,224.1,226.0,226.7
2022,225.9,226.9,228.5,228.5,230.1,230.5,232.0,233.3,233.4,233.6,233.5,232.0
2023,234.8,234.6,235.0,235.8,233.7,235.2,233.9,234.1,234.6,233.3,233.5,233.4
2024,229.1,234.6,235.8,234.9,233.9,233.3(P),,,,,,
