Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,827.4,824.0,824.2,825.5,826.3,824.7,825.4,825.2,825.7,825.7,827.3,826.9
2015,826.9,827.4,827.2,829.1,828.4,829.5,827.9,824.9,823.8,824.4,822.2,823.1
2016,822.1,822.6,823.1,821.5,819.8,825.6,823.9,820.4,822.8,819.7,818.3,821.0
2017,813.5,819.8,818.4,817.5,818.7,824.9,818.8,821.9,820.4,818.6,818.6,820.5
2018,813.6,818.4,820.9,817.8,819.9,821.4,818.6,822.3,822.5,821.7,824.5,823.1
2019,817.5,821.2,823.3,823.3,824.2,823.9,822.2,821.8,823.7,825.6,824.9,823.5
2020,834.9,830.7,829.8,779.9,756.8,740.1,752.9,781.5,776.7,774.4,769.1,769.9
2021,769.4,769.5,771.9,777.7,772.3,768.4,776.9,778.5,786.0,785.6,781.6,787.0
2022,794.6,786.5,785.9,787.5,784.6,789.7,796.3,792.3,793.8,793.9,795.9,795.9
2023,800.5,803.7,805.7,806.3,808.5,813.1,813.9,812.9,814.3,818.0,820.1,817.7
2024,823.7,832.5,835.1,833.8,836.7,839.5(P),,,,,,
