Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,99.2,99.5,100.2,100.2,99.7,100.0,100.4,100.2,100.3,100.7,100.4,100.8
2015,101.1,101.1,100.7,101.4,102.5,101.9,101.6,100.7,101.3,101.6,101.8,101.7
2016,98.9,98.6,98.4,98.7,98.6,97.9,98.3,99.0,99.3,102.2,102.4,102.0
2017,100.6,101.0,100.9,99.1,99.6,99.1,98.3,97.9,97.3,96.1,95.6,95.6
2018,95.7,95.3,95.4,95.3,95.1,95.1,96.6,96.1,95.7,96.1,95.9,95.8
2019,96.3,96.3,96.1,95.9,96.2,95.6,95.9,95.6,95.7,95.3,95.1,94.8
2020,94.5,94.6,94.1,87.7,87.0,87.0,86.1,85.5,87.1,86.7,86.7,87.2
2021,87.7,88.5,89.2,88.2,89.3,89.9,90.6,91.0,91.5,92.5,93.2,93.3
2022,93.2,93.6,93.7,95.7,97.4,97.5,99.3,100.2,99.7,98.3,98.2,97.6
2023,97.3,97.0,96.2,95.7,94.9,94.4,93.1,92.3,92.5,90.0,90.1,88.7
2024,89.0,89.5,89.9,90.2,90.2,89.1(P),,,,,,
