Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,9.8,9.7,9.9,9.8,10.0,10.0,9.9,9.9,10.0,10.0,10.0,10.2
2015,10.0,9.9,9.7,9.6,9.6,9.5,9.3,9.3,9.0,8.8,8.7,8.6
2016,8.6,8.5,8.2,8.1,8.0,8.0,7.7,7.9,7.9,8.0,8.1,8.0
2017,7.9,8.0,8.1,8.0,7.8,7.8,7.8,7.7,7.6,7.7,7.7,7.7
2018,7.7,7.7,7.7,7.7,7.8,7.8,7.9,8.0,7.9,8.1,8.0,8.1
2019,8.2,8.3,8.3,8.4,8.6,8.2,8.3,8.2,8.3,8.1,8.0,8.0
2020,7.6,7.7,7.7,6.7,6.7,6.6,6.3,6.5,6.5,6.6,6.5,6.5
2021,6.5,6.4,6.5,6.5,6.6,6.6,6.6,6.6,6.6,6.7,6.7,6.8
2022,6.8,6.9,6.8,6.8,7.0,6.7,6.8,7.1,7.1,7.1,7.1,7.2
2023,7.2,7.3,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2
2024,7.2,7.3,7.1,7.3,7.3,7.3(P),,,,,,
