Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,251.5,251.4,252.0,252.6,253.2,253.2,253.8,251.3,251.7,252.3,252.5,252.1
2015,252.0,252.4,252.6,252.1,252.0,251.9,251.7,251.8,252.1,251.8,252.6,252.5
2016,252.4,252.1,251.6,251.7,251.2,249.9,251.1,251.6,251.5,251.8,251.7,251.5
2017,251.9,251.7,252.2,253.4,252.9,253.1,253.2,253.6,253.4,253.5,253.2,253.8
2018,253.6,254.2,254.7,253.4,253.5,253.8,254.2,253.8,254.4,255.2,255.4,255.6
2019,255.6,255.2,255.1,255.5,255.8,255.9,255.3,255.2,255.5,255.7,256.5,256.7
2020,257.2,257.4,253.9,206.7,210.8,225.8,230.5,233.3,234.7,235.9,234.0,231.9
2021,232.5,233.6,235.0,236.5,237.2,238.0,238.8,239.4,239.9,241.1,242.0,243.2
2022,242.9,243.3,244.2,245.7,245.8,246.0,247.1,247.6,248.0,247.7,248.1,248.6
2023,250.0,250.0,249.7,248.8,249.1,251.9,250.9,250.0,251.7,250.6,252.9,252.6
2024,254.6,256.8,257.8,258.6,259.4,260.4(P),,,,,,
