Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,880.6,882.5,883.8,885.2,885.1,885.5,886.0,885.8,886.5,888.8,890.7,892.8
2015,891.2,890.5,891.8,896.6,900.6,901.3,904.3,903.4,903.8,906.0,907.1,907.8
2016,909.9,909.9,908.6,913.0,915.5,915.5,919.9,918.7,917.9,918.6,918.6,917.3
2017,920.7,921.9,922.9,921.8,923.4,922.3,923.1,923.9,925.1,926.2,926.6,927.7
2018,929.0,931.1,932.9,931.3,931.5,932.4,931.5,931.7,935.0,932.9,933.3,934.0
2019,936.4,934.0,935.0,938.4,938.4,937.4,942.4,943.3,943.9,944.6,945.6,945.8
2020,949.2,950.1,944.1,850.0,853.1,870.9,876.9,884.4,887.6,892.6,894.5,898.0
2021,900.1,902.3,905.2,907.3,906.2,908.9,911.6,908.5,906.9,913.1,914.9,915.4
2022,916.4,918.1,919.6,921.7,924.4,926.9,936.2,938.6,943.6,940.0,944.4,946.6
2023,957.3,959.3,960.8,960.0,961.2,970.5,971.8,972.2,974.6,970.8,975.3,976.2
2024,978.1,982.6,985.8,988.1,989.8,996.9(P),,,,,,
