Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,5842.8,5841.4,5852.0,5863.8,5873.5,5878.1,5880.1,5882.7,5888.7,5899.4,5912.0,5920.9
2015,5917.8,5923.3,5924.7,5949.9,5972.1,5975.8,5981.5,5978.2,5980.9,5991.2,5992.1,5998.3
2016,6000.4,6000.5,5998.6,6010.3,5999.6,5998.7,6014.5,6013.2,6025.9,6032.0,6033.5,6029.3
2017,6023.7,6035.5,6040.9,6042.6,6047.7,6061.2,6053.7,6068.4,6073.3,6069.7,6073.8,6083.6
2018,6073.6,6089.6,6105.9,6084.8,6094.6,6104.7,6109.0,6111.8,6116.2,6109.9,6115.6,6111.5
2019,6112.8,6110.6,6113.3,6127.4,6131.5,6133.5,6132.9,6131.7,6129.7,6128.9,6124.1,6128.7
2020,6141.2,6137.1,6084.0,5326.7,5337.3,5445.1,5565.3,5642.2,5666.9,5696.8,5665.6,5655.6
2021,5684.0,5716.4,5751.9,5767.1,5766.3,5779.9,5818.8,5829.5,5846.8,5898.9,5919.8,5954.0
2022,5952.1,5968.8,5988.9,6009.5,6015.9,6023.1,6067.5,6072.3,6082.7,6070.8,6076.6,6070.7
2023,6108.9,6109.3,6113.0,6106.3,6107.1,6134.1,6119.2,6118.4,6132.3,6101.9,6107.2,6100.6
2024,6099.7,6126.4,6136.4,6138.3,6147.9,6158.3(P),,,,,,
