Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,121.2,121.4,122.0,122.3,122.7,123.8,124.2,123.8,123.7,123.6,124.4,125.0
2015,125.6,125.9,125.0,125.1,127.0,126.3,126.7,127.8,128.0,128.6,129.3,130.4
2016,129.5,129.5,129.2,130.7,130.4,130.8,131.4,132.3,133.4,134.6,135.2,135.7
2017,136.3,136.8,137.3,138.0,138.6,138.2,138.9,138.7,139.8,138.5,139.0,138.9
2018,138.8,139.0,140.5,140.0,139.6,141.5,141.4,142.2,142.5,142.8,142.0,142.4
2019,146.5,146.0,145.5,145.2,145.5,145.9,145.2,145.6,145.7,146.5,145.8,147.1
2020,149.7,149.4,147.9,133.7,137.9,140.7,141.4,143.2,144.0,145.5,146.3,148.2
2021,148.5,144.2,146.6,148.9,148.4,148.3,149.5,150.5,151.3,152.1,153.4,153.8
2022,153.7,153.9,154.0,154.8,155.6,156.1,157.5,158.2,158.9,158.1,158.3,158.5
2023,161.6,161.5,161.5,160.9,160.4,161.2,161.4,161.1,161.7,164.3,164.8,165.3
2024,167.3,167.9,167.9,167.1,167.6,169.3(P),,,,,,
