Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,416.9,427.5,428.6,427.6,428.9,430.3,426.3,424.6,424.4,426.7,428.1,428.3
2015,427.9,426.4,426.5,426.9,428.7,434.4,424.9,427.1,433.7,427.5,428.7,429.1
2016,428.1,430.7,431.5,427.6,427.1,427.3,427.8,426.7,433.1,427.2,427.6,425.6
2017,428.3,427.3,429.2,429.0,430.6,434.5,431.2,429.3,434.5,430.3,430.4,430.9
2018,429.8,430.7,430.4,430.9,431.6,434.8,429.9,433.7,430.6,431.0,429.6,429.3
2019,428.9,428.5,427.9,422.7,413.6,423.7,424.7,429.8,426.9,425.6,427.2,427.9
2020,428.3,429.9,427.0,406.6,403.3,398.9,409.9,412.6,410.9,410.5,406.2,404.5
2021,404.1,401.9,404.4,405.0,408.7,416.1,415.3,410.0,402.7,405.9,406.0,406.8
2022,409.5,405.2,405.5,407.3,406.4,403.0,409.6,409.4,408.8,410.8,413.2,411.0
2023,414.1,417.3,418.2,418.6,421.0,419.3,423.2,424.3,427.0,424.0,424.8,425.2
2024,425.4,427.5,428.0,428.4,429.6,426.3(P),,,,,,
