Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,35.7,35.6,35.6,35.6,35.5,35.6,35.6,35.4,35.2,35.0,34.7,34.4
2015,34.4,34.2,33.9,33.9,33.8,33.9,33.9,33.6,33.5,33.4,33.4,33.3
2016,33.2,33.1,32.9,33.0,32.9,32.8,32.7,32.7,32.7,32.9,32.5,32.5
2017,32.5,32.4,32.6,32.1,31.9,31.6,31.4,31.2,31.0,30.7,30.9,30.9
2018,30.0,29.8,29.9,29.8,29.5,29.4,29.2,29.1,29.0,28.9,28.8,28.7
2019,28.9,28.9,28.8,28.9,28.9,29.0,28.9,28.8,28.8,28.7,28.7,28.5
2020,28.4,28.4,28.2,25.5,25.4,25.4,25.2,25.3,25.7,25.8,25.6,25.3
2021,25.7,25.6,25.7,25.8,26.0,26.0,26.3,26.6,26.4,26.4,26.6,26.6
2022,26.7,26.6,26.8,26.8,26.9,26.8,27.2,27.4,27.1,27.1,27.0,26.9
2023,26.9,26.9,26.9,26.8,26.8,26.7,26.6,26.6,26.7,26.1,26.2,26.1
2024,26.5,26.5,26.5,26.7,26.6,26.6(P),,,,,,
