Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,498.0,500.0,501.7,503.6,504.8,506.0,504.9,508.9,510.3,511.9,513.3,514.7
2015,515.1,514.8,516.0,515.3,517.2,517.4,518.8,520.1,520.7,520.3,520.7,520.4
2016,521.4,521.8,521.6,521.8,522.2,522.4,525.5,525.1,524.4,524.7,525.3,526.2
2017,527.6,527.8,528.3,529.6,530.3,531.4,532.3,531.8,533.8,535.3,537.0,538.3
2018,539.3,539.7,540.3,541.4,542.3,543.4,542.4,542.4,544.0,545.5,544.9,543.8
2019,544.6,544.8,544.2,542.1,542.5,542.1,535.9,541.6,540.9,539.0,538.6,537.8
2020,536.6,535.2,533.0,420.2,461.7,499.3,504.4,508.6,512.2,513.9,513.7,517.4
2021,519.7,520.0,522.1,519.4,520.2,522.1,525.9,522.9,526.3,530.4,532.7,533.4
2022,533.2,537.0,538.3,539.8,540.7,540.2,545.6,544.5,543.9,543.8,543.1,541.7
2023,533.9,538.8,537.1,535.7,534.7,534.2,532.5,533.2,533.3,532.1,532.9,532.4
2024,531.7,533.1,531.6,532.0,529.3,526.8(P),,,,,,
