Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,7.1,6.9,7.1,7.2,7.2,7.3,7.2,7.3,7.2,7.1,7.1,7.2
2015,7.3,7.0,7.0,6.9,6.9,6.8,6.8,6.8,6.6,6.7,6.6,6.5
2016,6.4,6.6,6.4,6.3,6.3,6.2,6.2,6.2,6.1,6.0,5.8,6.0
2017,5.9,5.9,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.1,6.3,6.1
2018,6.1,6.2,6.2,6.2,6.2,6.2,6.3,6.3,6.3,6.2,6.2,6.2
2019,6.1,6.1,6.1,6.1,6.1,6.0,6.0,6.0,6.0,6.3,6.1,6.0
2020,6.2,5.9,5.8,5.2,5.1,5.1,5.1,5.1,5.1,5.0,5.0,5.0
2021,5.0,4.9,4.9,4.9,4.9,4.8,4.9,4.9,5.0,5.2,5.2,5.4
2022,5.4,5.5,5.6,5.6,5.7,5.7,5.7,5.7,5.9,5.5,5.6,5.6
2023,5.9,5.9,5.8,5.8,5.7,5.7,5.5,5.6,5.6,5.6,5.6,5.7
2024,5.6,5.6,5.7,5.5,5.6,5.7(P),,,,,,
