Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,435.9,434.5,435.6,435.8,437.1,437.8,437.3,438.1,436.2,437.0,438.4,439.8
2015,442.2,443.1,444.6,445.8,446.0,446.8,449.3,450.9,447.5,451.9,452.4,452.8
2016,454.0,454.2,455.0,452.9,452.8,453.5,456.7,457.2,457.6,461.6,461.8,461.4
2017,461.9,463.2,463.9,464.0,465.6,467.3,467.5,466.5,467.6,468.0,467.4,468.3
2018,468.1,468.5,470.2,470.8,471.8,472.4,471.6,472.8,473.8,474.4,474.4,475.4
2019,476.7,478.3,478.1,480.5,480.4,481.6,480.8,481.4,482.7,481.3,482.0,482.6
2020,482.5,482.5,479.8,433.7,446.9,454.7,457.5,460.6,460.1,463.4,464.2,464.9
2021,465.9,465.8,466.5,465.7,465.5,466.4,466.9,467.0,464.0,468.0,469.1,468.6
2022,468.3,468.3,470.3,471.9,473.9,474.0,477.7,479.0,480.7,481.2,483.3,484.8
2023,487.3,490.0,491.4,492.8,495.0,497.6,500.4,502.3,504.9,506.6,508.0,509.1
2024,510.9,511.6,512.9,513.8,515.2,518.8(P),,,,,,
