Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,569.0,569.8,571.1,572.1,572.2,572.5,573.1,573.6,573.9,573.0,575.4,576.6
2015,576.5,576.6,577.4,578.0,580.6,581.5,582.3,585.1,584.7,587.6,588.0,588.8
2016,591.3,592.7,593.6,593.8,592.6,592.1,595.3,594.6,595.8,594.6,595.6,595.7
2017,594.4,595.6,595.2,596.9,595.3,596.1,595.1,595.7,596.4,594.3,595.7,595.1
2018,594.1,594.3,595.8,595.3,597.8,598.8,599.9,599.9,601.1,598.9,599.0,598.6
2019,601.8,601.3,600.7,599.9,600.0,599.6,598.9,599.4,599.9,602.4,604.3,605.2
2020,596.4,597.6,597.2,543.3,566.4,587.3,590.3,595.1,598.7,602.8,603.3,605.6
2021,606.9,605.8,607.4,605.0,606.4,606.5,612.2,612.5,608.4,615.8,618.6,620.1
2022,622.5,626.7,628.8,631.5,630.9,629.3,633.9,633.3,632.6,631.1,630.8,631.6
2023,633.6,633.5,633.0,633.3,634.3,633.9,632.8,634.5,636.8,636.0,639.1,639.6
2024,640.5,639.8,639.2,637.1,637.8,634.6(P),,,,,,
