Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,70.0,70.3,71.3,72.9,74.7,74.9,74.8,75.5,76.0,76.1,76.3,77.1
2015,78.1,78.8,79.1,78.3,77.6,77.2,77.4,77.3,77.5,78.3,78.9,79.9
2016,80.3,80.4,83.5,82.0,79.6,79.5,80.9,81.2,81.8,81.6,80.7,79.6
2017,77.6,78.5,78.6,76.8,76.1,75.6,74.7,74.4,74.7,74.8,75.3,75.9
2018,75.8,76.6,77.2,76.0,77.2,77.8,77.8,77.9,77.9,77.3,78.0,77.6
2019,78.9,76.8,75.4,77.5,78.0,78.5,79.0,79.2,79.1,79.0,77.8,78.4
2020,79.1,79.1,78.5,73.7,76.7,76.1,75.6,76.0,74.5,76.1,76.0,77.6
2021,76.9,75.0,76.7,77.4,78.2,78.3,78.8,78.8,78.9,79.4,80.0,81.0
2022,80.2,81.1,80.5,80.2,80.8,81.1,81.5,81.5,81.5,81.3,81.6,81.2
2023,82.5,82.8,83.1,83.7,83.0,83.3,82.9,82.7,83.2,82.0,83.4,84.6
2024,85.5,87.2,88.3,85.7,85.5,85.9(P),,,,,,
