Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,104.0,104.1,104.0,104.1,103.9,104.2,103.9,104.4,104.6,104.6,104.6,104.7
2015,104.6,104.8,105.2,105.5,105.6,105.9,106.1,106.2,106.6,106.6,106.9,107.4
2016,108.0,108.2,108.3,108.2,108.2,108.2,108.6,108.4,108.9,108.7,108.7,108.9
2017,109.0,109.1,109.2,109.4,109.4,109.7,109.7,109.6,109.7,109.5,109.5,109.8
2018,110.2,110.0,109.8,109.6,110.1,109.9,110.1,110.1,110.1,110.0,110.2,109.9
2019,109.5,109.6,109.8,110.0,110.1,110.3,110.0,110.3,110.3,110.3,110.2,110.2
2020,110.0,110.4,110.2,108.4,108.3,108.6,108.7,108.9,109.8,109.5,109.3,109.2
2021,109.4,109.3,109.4,109.4,109.4,109.1,109.4,109.2,108.7,109.2,109.1,108.8
2022,109.0,108.9,108.9,108.8,108.6,108.5,108.5,108.4,108.3,108.3,108.4,108.3
2023,108.1,108.1,108.0,108.1,108.2,108.3,108.2,107.6,108.1,108.0,108.6,108.6
2024,108.8,108.9,108.3,107.7,107.3,107.6(P),,,,,,
