Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,216.5,217.0,217.1,217.3,217.3,217.4,217.6,217.4,216.9,216.5,216.8,217.1
2015,217.4,217.1,217.1,216.6,216.6,216.6,216.3,215.8,215.7,215.6,215.1,215.0
2016,215.4,214.9,215.2,214.1,214.0,214.1,213.9,214.2,213.7,213.0,212.5,213.2
2017,213.4,213.6,214.0,214.9,215.1,215.4,216.0,216.0,217.4,218.1,218.6,219.5
2018,219.4,220.1,220.1,221.3,222.2,222.8,223.2,223.1,224.1,224.6,225.2,225.4
2019,225.7,225.8,226.1,226.1,226.7,226.8,226.5,226.2,225.5,225.8,225.7,225.1
2020,224.2,223.9,223.4,212.9,212.2,212.2,213.2,213.8,215.2,215.2,215.7,217.4
2021,217.1,216.8,217.1,217.1,217.5,217.4,219.5,219.7,219.3,219.9,214.1,220.6
2022,220.3,221.8,222.1,223.1,223.4,224.1,225.0,225.2,225.1,225.3,225.0,225.4
2023,226.2,226.3,226.2,225.8,225.7,226.5,226.3,226.6,227.0,228.3,227.2,228.2
2024,228.5,228.8,228.8,228.0,227.2,226.2(P),,,,,,
