Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,58.8,58.9,59.0,59.0,59.2,59.2,59.1,59.1,59.2,59.1,59.3,59.0
2015,59.2,59.1,59.3,59.2,59.1,59.1,59.0,59.0,59.1,59.4,59.2,59.3
2016,59.2,59.1,59.0,58.9,58.8,58.6,58.8,58.7,58.7,58.3,58.1,57.8
2017,57.7,57.8,57.6,57.6,57.5,57.6,57.4,57.2,57.3,57.2,57.2,57.5
2018,57.3,57.4,57.5,57.5,57.5,57.6,57.4,57.3,57.3,57.5,57.5,57.6
2019,57.6,57.5,57.7,57.7,57.8,58.2,58.4,58.6,58.7,58.3,58.7,58.7
2020,58.6,58.3,57.7,48.2,51.2,53.1,53.7,54.1,54.6,54.6,54.4,54.2
2021,54.0,54.0,54.0,54.4,54.5,54.4,54.7,54.7,54.8,55.0,55.2,55.5
2022,55.5,55.7,55.8,55.7,55.5,55.4,55.5,55.6,55.6,55.6,55.6,55.7
2023,56.0,56.2,56.0,55.9,55.8,56.0,55.9,56.0,56.2,56.0,55.9,55.3
2024,54.9,56.6,56.4,57.0,56.1,56.0(P),,,,,,
