Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,1536.3,1538.7,1540.1,1543.7,1547.7,1546.7,1546.7,1549.5,1554.1,1550.5,1552.9,1556.1
2015,1558.4,1559.2,1561.7,1558.2,1560.5,1562.0,1561.1,1559.6,1560.4,1563.6,1564.7,1566.7
2016,1568.4,1569.0,1573.7,1574.0,1568.2,1565.1,1571.0,1570.6,1574.6,1573.3,1571.0,1571.1
2017,1567.9,1571.7,1572.2,1573.8,1569.7,1573.0,1571.7,1572.2,1574.4,1573.9,1575.2,1578.4
2018,1578.3,1580.5,1580.1,1579.0,1586.3,1586.8,1584.7,1584.2,1586.2,1584.0,1586.3,1586.0
2019,1588.3,1583.2,1583.1,1587.0,1587.7,1586.9,1588.1,1588.2,1587.6,1588.5,1587.6,1590.3
2020,1588.9,1588.0,1581.3,1412.7,1425.7,1467.1,1487.1,1495.8,1505.7,1514.5,1512.5,1519.0
2021,1522.2,1520.5,1528.0,1532.0,1533.5,1537.3,1545.2,1547.8,1544.2,1551.0,1549.0,1556.4
2022,1555.6,1566.1,1565.8,1569.4,1570.2,1573.2,1576.4,1575.3,1579.6,1580.9,1581.5,1581.3
2023,1584.1,1587.7,1586.8,1587.9,1587.5,1589.1,1589.5,1589.3,1592.0,1594.1,1595.3,1598.8
2024,1596.2,1608.1,1611.7,1611.5,1609.7,1610.0(P),,,,,,
