Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,161.6,164.4,163.8,163.6,163.3,164.1,163.0,163.6,163.4,163.3,163.9,164.1
2015,161.4,163.9,164.0,160.4,163.4,163.4,162.8,162.0,162.9,162.5,162.6,163.0
2016,162.9,162.7,162.5,162.3,162.4,161.0,161.4,161.6,161.6,161.6,161.6,161.3
2017,161.8,162.4,162.6,162.0,162.4,163.1,163.3,162.4,164.2,164.1,164.3,164.6
2018,163.4,165.3,165.4,165.8,166.5,166.9,167.4,167.6,167.9,168.3,168.8,169.3
2019,169.6,170.0,170.2,170.9,171.0,170.8,170.9,171.2,171.0,169.4,171.3,171.1
2020,170.8,170.6,170.6,152.5,152.4,150.8,154.2,157.7,157.7,157.5,156.8,157.4
2021,158.2,158.3,161.3,159.8,159.7,160.2,160.9,162.2,162.3,163.1,163.6,164.4
2022,164.7,166.0,167.3,167.9,168.5,169.3,170.3,170.9,171.2,171.5,172.2,172.7
2023,173.0,173.7,173.4,173.1,173.4,174.1,173.4,173.7,174.1,171.9,173.2,172.7
2024,172.9,173.2,173.7,173.4,174.0,174.8(P),,,,,,
