Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,48.3,48.6,48.9,49.0,48.7,48.6,48.6,48.6,48.4,48.3,48.4,48.0
2015,48.0,47.9,47.6,47.8,48.0,48.7,48.7,48.9,49.1,49.3,49.3,49.6
2016,49.9,50.0,50.4,50.8,50.6,50.7,50.6,50.6,50.8,50.5,50.8,50.6
2017,50.5,50.9,50.9,50.5,50.4,50.4,50.2,50.4,50.5,50.9,51.0,51.2
2018,51.2,51.0,51.0,51.0,50.9,50.9,51.0,51.0,50.9,51.1,51.1,51.0
2019,51.1,51.2,51.3,52.2,51.5,51.5,51.4,51.4,51.7,51.5,51.6,51.7
2020,51.8,51.9,51.5,41.9,44.3,47.0,47.1,47.7,47.7,47.5,47.3,47.1
2021,47.2,47.0,46.9,47.9,48.2,48.3,48.7,48.9,48.7,49.0,49.3,49.7
2022,49.6,49.6,49.5,49.8,50.0,50.2,50.5,50.8,51.2,51.6,52.0,52.0
2023,52.5,52.8,53.1,53.0,53.0,53.7,52.6,52.8,53.5,53.4,53.4,53.3
2024,53.1,53.4,53.9,54.6,54.3,56.8(P),,,,,,
