Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,1381.0,1384.1,1387.9,1390.0,1391.8,1391.5,1392.9,1393.5,1393.8,1395.0,1397.1,1398.4
2015,1396.6,1400.5,1398.9,1395.3,1400.3,1402.3,1401.6,1401.6,1402.1,1402.9,1402.7,1403.0
2016,1403.4,1404.7,1404.2,1406.5,1404.4,1401.4,1405.4,1402.7,1406.7,1406.1,1405.9,1404.9
2017,1400.8,1406.2,1408.0,1398.7,1398.0,1399.4,1402.6,1400.4,1407.2,1406.3,1409.8,1410.9
2018,1410.5,1413.0,1413.7,1412.4,1413.2,1415.0,1415.5,1420.7,1420.5,1417.3,1419.4,1420.3
2019,1419.1,1419.7,1419.2,1426.5,1423.3,1422.7,1420.7,1427.9,1425.5,1425.1,1427.1,1429.2
2020,1429.9,1429.2,1422.0,1270.4,1299.3,1323.3,1342.2,1358.5,1354.4,1357.8,1357.7,1361.2
2021,1365.7,1358.9,1372.1,1372.2,1376.6,1380.3,1389.5,1389.7,1376.9,1389.8,1392.9,1394.6
2022,1399.6,1405.9,1404.4,1408.7,1409.3,1406.9,1419.9,1422.2,1427.0,1427.3,1429.4,1430.1
2023,1439.9,1438.8,1439.7,1440.0,1440.1,1446.7,1440.4,1441.2,1445.9,1446.2,1449.6,1449.6
2024,1448.2,1455.1,1461.0,1464.0,1457.0,1464.6(P),,,,,,
