Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,258.5,258.0,260.1,260.6,260.8,261.2,261.6,261.9,261.8,262.1,262.3,263.5
2015,263.3,262.8,262.7,262.7,264.0,265.5,264.8,265.3,265.3,265.5,265.3,264.7
2016,265.3,266.3,266.0,267.2,267.1,267.1,267.6,267.2,267.1,267.1,267.1,267.0
2017,266.6,267.2,266.9,265.5,265.4,265.1,266.0,267.9,268.8,268.3,269.5,269.1
2018,269.3,268.9,268.6,269.0,269.4,269.8,269.0,268.4,268.8,268.2,268.3,268.0
2019,268.4,267.0,266.4,267.4,266.9,266.4,266.8,267.3,267.0,267.2,266.9,267.5
2020,266.2,266.3,265.8,242.5,249.6,258.1,259.5,261.9,262.5,263.2,264.0,264.3
2021,265.8,264.8,266.0,265.9,266.8,267.2,268.4,267.9,266.9,270.0,270.8,271.4
2022,272.0,274.7,274.0,274.4,273.6,272.7,274.2,274.6,274.7,274.4,273.9,275.1
2023,275.5,275.7,275.7,276.6,276.7,278.1,276.3,276.2,276.6,275.7,275.4,275.8
2024,274.6,275.7,277.6,278.1,278.9,279.2(P),,,,,,
