Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,89.3,89.2,89.2,89.6,89.9,90.0,90.4,90.4,90.6,91.0,91.4,91.8
2015,91.5,91.8,91.9,91.7,92.0,92.2,92.3,92.5,92.4,92.6,92.9,92.9
2016,93.2,93.6,93.5,93.4,93.6,93.5,93.7,93.6,93.7,94.0,93.8,94.6
2017,94.2,94.3,94.5,94.3,94.1,94.2,93.6,93.7,93.8,93.7,93.4,93.1
2018,93.1,92.9,92.9,93.1,93.2,93.2,93.1,93.3,93.5,93.2,93.3,93.5
2019,93.6,93.5,93.4,93.3,93.7,93.8,93.9,93.9,94.0,94.0,94.2,94.3
2020,94.4,94.7,95.1,90.9,90.8,91.9,92.2,92.7,92.9,93.4,93.6,93.8
2021,95.4,95.5,95.8,95.6,95.8,96.0,96.0,96.1,95.9,96.8,97.1,96.9
2022,96.5,96.7,96.7,97.1,97.0,96.7,96.9,96.6,96.5,96.1,96.0,95.9
2023,97.5,97.2,97.2,97.0,96.9,97.0,96.6,96.8,96.8,96.2,96.3,96.4
2024,95.5,95.2,95.2,95.3,95.7,95.8(P),,,,,,
