Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,16.6,16.5,16.5,16.6,16.7,16.6,16.5,16.6,16.5,16.5,16.4,16.3
2015,15.7,15.5,14.8,14.6,14.5,14.2,13.9,13.6,13.3,13.1,12.7,12.3
2016,11.8,11.5,11.2,10.7,10.4,10.3,10.1,10.0,10.0,10.0,10.1,10.1
2017,10.4,10.5,10.5,10.6,10.4,10.3,10.2,10.2,10.1,10.0,9.8,9.7
2018,9.5,9.6,9.7,10.2,10.2,10.1,10.3,10.2,10.3,10.3,10.4,10.5
2019,10.8,10.8,10.8,10.7,10.7,9.9,9.9,9.7,9.5,10.0,9.9,9.6
2020,9.0,8.6,8.3,6.7,6.9,7.1,7.0,7.3,7.2,7.3,7.3,7.0
2021,7.5,7.5,7.6,7.6,7.6,7.5,7.5,7.6,7.6,7.6,7.7,7.7
2022,7.8,8.0,7.9,8.1,8.1,8.3,8.2,8.3,8.5,8.4,8.5,8.4
2023,8.6,8.8,8.8,8.8,8.6,8.6,8.6,8.5,8.6,8.6,8.6,8.8
2024,8.9,9.0,9.1,9.2,9.3,9.2(P),,,,,,
