Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,261.2,260.5,259.8,260.1,259.3,259.4,259.0,259.4,260.9,260.3,259.6,260.7
2015,261.9,261.5,262.1,263.0,263.2,263.3,263.6,264.0,264.7,266.0,267.3,267.0
2016,266.4,267.4,267.4,265.6,266.6,267.0,268.5,268.8,269.9,271.2,269.3,271.1
2017,270.5,271.6,271.8,272.2,271.7,273.6,272.3,272.1,272.8,274.6,274.9,274.7
2018,274.9,275.7,275.8,277.7,277.5,278.9,277.7,278.7,279.5,278.8,282.2,281.7
2019,282.2,283.1,283.7,284.2,284.8,286.0,286.2,289.1,287.8,286.9,288.8,288.0
2020,289.7,291.0,289.8,249.2,256.7,264.7,270.9,273.4,275.2,277.5,275.8,276.8
2021,279.6,279.0,283.6,283.4,282.8,282.1,282.8,283.9,281.4,284.0,284.3,284.3
2022,283.0,284.1,285.1,285.9,287.1,287.7,290.2,291.0,292.7,293.5,294.9,296.3
2023,298.9,299.9,300.7,299.9,300.8,301.9,302.3,303.6,304.9,306.0,307.1,307.8
2024,308.9,311.2,313.2,316.5,316.9,318.9(P),,,,,,
