Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,1841.1,1840.4,1845.0,1853.2,1853.8,1855.5,1860.8,1865.3,1865.5,1867.7,1870.2,1873.4
2015,1876.9,1874.8,1869.9,1872.8,1882.4,1885.7,1883.7,1889.8,1891.1,1896.4,1902.2,1903.0
2016,1902.1,1902.2,1902.9,1905.3,1906.9,1902.9,1913.9,1914.0,1913.7,1914.0,1909.8,1914.0
2017,1915.1,1918.7,1919.7,1918.4,1917.5,1920.8,1916.6,1914.8,1923.0,1926.8,1925.4,1924.1
2018,1921.0,1925.9,1926.1,1930.5,1931.6,1936.1,1930.8,1927.6,1934.0,1932.8,1936.7,1932.2
2019,1938.9,1937.1,1938.2,1940.6,1944.5,1943.5,1950.0,1948.7,1950.9,1945.9,1951.9,1950.8
2020,1952.4,1954.6,1939.4,1664.3,1695.3,1784.0,1816.0,1837.7,1846.2,1857.1,1857.8,1853.2
2021,1875.4,1871.9,1887.1,1887.8,1896.0,1898.0,1905.8,1913.8,1907.8,1928.2,1933.0,1939.4
2022,1936.9,1946.5,1950.7,1960.0,1961.6,1961.3,1969.1,1978.6,1985.9,1987.3,1991.2,1993.1
2023,2005.4,2008.3,2011.9,2012.2,2015.1,2019.2,2015.6,2021.3,2026.6,2025.8,2021.1,2023.2
2024,2022.4,2027.5,2034.2,2038.1,2042.8,2044.9(P),,,,,,
