Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,92.7,92.6,92.4,92.7,92.9,93.0,93.4,94.0,93.9,93.9,94.1,94.2
2015,94.1,94.0,94.1,93.6,93.6,93.6,93.5,93.5,92.9,93.1,93.3,93.3
2016,93.3,93.3,93.3,93.6,93.7,93.0,93.6,93.5,93.6,93.5,93.4,93.3
2017,93.3,93.4,93.3,93.2,93.3,93.3,93.3,93.4,93.2,93.2,93.4,93.6
2018,93.7,93.8,94.1,94.1,94.1,94.3,94.0,93.8,93.6,93.6,93.6,93.8
2019,93.9,94.0,93.9,94.1,94.3,94.2,94.2,94.5,94.7,94.6,94.7,94.4
2020,94.2,94.2,93.9,87.8,87.1,86.7,86.6,86.7,86.8,87.2,87.1,86.6
2021,86.6,87.1,87.3,87.5,87.9,87.7,89.0,89.2,89.6,91.1,91.0,91.5
2022,91.8,92.2,92.5,93.3,93.7,94.3,95.1,95.6,95.7,96.0,96.5,96.6
2023,97.4,97.3,97.6,97.5,97.5,97.8,97.2,97.2,97.2,98.2,97.5,97.3
2024,97.0,95.8,94.3,93.8,95.2,94.5(P),,,,,,
