Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,335.1,334.7,334.0,332.6,332.0,332.1,330.6,331.2,332.1,331.1,331.0,330.6
2015,330.5,330.1,329.5,329.5,329.6,330.0,330.1,330.2,330.4,328.6,328.8,327.7
2016,328.8,328.7,328.1,327.9,330.2,329.7,329.0,327.9,330.0,329.9,330.2,329.6
2017,330.4,330.4,329.6,329.6,331.1,329.7,329.0,328.0,328.7,330.1,329.1,329.9
2018,329.7,329.9,330.7,331.3,330.3,329.9,329.2,329.4,330.0,330.7,330.3,329.5
2019,328.9,330.1,330.1,331.0,330.7,331.2,330.8,332.7,333.3,332.6,332.7,331.8
2020,330.8,330.9,331.2,316.0,310.9,309.7,314.0,317.5,316.0,314.4,313.3,313.6
2021,313.7,313.9,314.0,313.9,312.7,311.7,313.2,313.8,311.4,311.9,312.2,312.2
2022,311.7,310.3,309.3,309.9,310.7,308.9,311.5,312.8,312.5,313.3,314.0,313.8
2023,315.1,314.9,315.3,315.9,316.5,316.6,316.9,317.6,318.2,316.8,316.6,317.2
2024,318.1,317.2,317.8,319.5,319.8,320.1(P),,,,,,
