Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,295.6,296.0,296.4,297.0,297.3,297.5,298.3,299.3,300.7,300.4,300.5,300.8
2015,301.7,302.1,302.4,303.1,303.7,304.1,304.6,304.8,305.3,306.2,306.8,307.8
2016,306.7,307.1,308.1,309.1,309.3,309.3,311.7,310.5,310.2,310.8,311.1,312.5
2017,312.5,313.4,314.1,313.4,313.6,315.0,312.9,313.3,314.2,313.4,313.9,313.9
2018,313.2,313.7,314.4,314.7,315.1,313.9,314.5,315.5,316.3,318.1,317.4,318.3
2019,319.1,319.5,319.9,320.5,320.4,320.6,321.3,322.6,323.3,323.7,324.3,324.2
2020,325.2,326.5,325.3,293.0,298.8,304.3,305.7,308.0,306.2,311.8,313.8,315.4
2021,315.3,315.1,317.1,317.2,317.3,318.8,319.3,319.1,310.2,318.0,318.9,320.0
2022,320.6,321.3,321.2,322.5,323.0,324.2,326.0,326.3,327.5,328.4,329.0,329.3
2023,330.5,331.4,332.5,333.6,334.4,334.5,335.3,335.8,336.0,335.8,335.2,335.6
2024,335.9,337.9,337.3,337.5,337.3,338.2(P),,,,,,
