Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,30.4,30.3,30.4,30.4,30.3,30.4,30.2,30.6,30.4,30.5,30.5,30.5
2015,30.6,30.5,30.5,30.5,30.5,30.6,30.7,30.8,30.7,30.8,30.8,30.8
2016,31.0,31.0,31.1,31.1,31.2,31.2,31.2,31.2,31.1,31.0,31.0,31.1
2017,31.2,31.1,31.3,31.3,31.3,31.5,31.5,31.6,31.7,31.6,31.7,31.7
2018,31.6,31.7,31.7,32.0,32.1,32.1,32.1,32.2,32.3,32.4,32.6,32.5
2019,32.7,32.8,32.7,32.8,32.9,32.9,33.1,33.2,33.0,33.3,33.2,33.2
2020,33.3,33.2,33.2,32.3,32.3,32.3,32.4,32.4,32.7,32.7,32.8,32.9
2021,32.9,33.0,33.1,33.1,33.1,33.0,33.1,33.1,33.2,33.2,33.2,33.4
2022,33.5,33.5,33.5,33.8,33.7,33.6,33.8,33.9,34.0,33.9,33.9,34.0
2023,33.9,33.9,33.8,33.7,33.7,33.8,33.7,33.5,33.4,33.5,33.7,34.0
2024,33.7,33.6,33.6,33.4,33.4,33.5(P),,,,,,
