Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,99.9,99.5,99.8,99.8,100.1,100.4,98.9,98.6,99.6,99.9,99.5,100.2
2015,99.8,99.3,99.4,99.3,98.8,99.1,99.2,99.2,99.0,98.9,98.5,98.9
2016,98.7,99.1,99.3,99.5,99.5,99.4,99.5,100.0,99.5,99.3,100.1,99.1
2017,99.1,99.0,99.5,99.2,99.3,99.1,99.7,99.4,99.5,99.2,99.4,99.5
2018,98.9,99.3,99.1,99.6,99.5,100.7,97.6,97.9,99.5,100.0,99.7,100.4
2019,100.6,100.2,100.2,100.1,100.4,100.2,98.1,99.0,100.4,100.6,100.6,99.9
2020,101.7,101.4,101.4,95.6,92.4,93.1,95.3,96.8,96.7,95.8,95.5,94.9
2021,95.1,95.8,96.5,96.6,96.4,96.3,96.4,96.4,96.4,96.7,96.5,95.5
2022,96.9,97.6,97.5,97.4,97.7,97.9,99.0,98.6,98.4,97.8,98.5,98.8
2023,99.6,99.1,99.1,99.0,99.8,99.9,101.1,100.5,100.3,101.1,101.1,101.4
2024,101.5,101.4,101.5,101.6,101.9,102.0(P),,,,,,
