Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,63.1,63.2,63.1,62.9,63.6,63.6,63.9,63.8,63.3,63.6,63.2,64.4
2015,64.0,63.6,63.9,64.0,64.9,64.2,64.5,64.6,64.9,65.2,65.2,64.8
2016,65.2,65.5,65.5,65.9,65.7,65.3,66.2,66.4,66.1,67.1,67.5,66.9
2017,67.4,67.4,67.6,67.5,67.4,67.9,67.5,67.6,68.1,67.9,68.7,68.7
2018,68.4,68.8,68.4,68.8,68.5,70.0,69.4,69.2,69.0,69.6,69.3,69.6
2019,69.7,69.5,70.0,69.8,70.7,71.5,70.0,70.2,70.4,69.8,69.4,70.6
2020,70.1,70.6,68.3,34.6,37.7,39.3,42.0,45.7,53.0,54.8,56.4,54.6
2021,56.2,57.2,58.4,59.0,59.4,60.2,61.4,61.9,63.0,64.3,64.6,64.5
2022,64.4,65.1,65.5,66.2,66.4,66.0,66.6,66.7,66.9,66.8,67.2,67.0
2023,68.3,68.3,68.3,67.8,68.4,69.9,69.5,70.1,69.0,67.8,67.7,68.3
2024,68.2,68.7,68.7,69.0,70.4,72.7(P),,,,,,
