Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,2.5,2.5,2.5,2.6,2.4,2.4,2.5,2.4,2.4,2.4,2.4,2.5
2015,2.4,2.4,2.5,2.5,2.4,2.4,2.5,2.4,2.4,2.3,2.4,2.4
2016,2.3,2.4,2.2,2.2,2.3,2.4,2.3,2.2,2.2,2.2,2.3,2.3
2017,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.1,2.2,2.2,2.2,2.2
2018,2.2,2.2,2.2,2.3,2.2,2.2,2.2,2.1,2.2,2.2,2.2,2.2
2019,2.2,2.2,2.3,2.2,2.2,2.2,2.2,2.2,2.2,2.1,2.2,2.2
2020,2.2,2.1,2.2,2.0,2.2,2.0,2.1,2.2,2.2,2.2,2.2,2.2
2021,2.2,2.2,2.2,2.1,2.1,2.1,2.1,2.2,2.2,2.1,2.1,2.1
2022,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.0,2.0,2.0
2023,2.1,2.1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2024,2.1,2.1,2.0,2.0,1.9,2.0(P),,,,,,
