Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,256.6,257.0,257.1,259.3,260.8,260.6,259.8,261.2,262.5,263.8,264.0,264.2
2015,264.7,265.5,263.5,265.3,269.0,267.6,268.7,268.9,269.2,269.2,269.6,271.6
2016,271.1,270.8,271.5,272.1,271.7,271.5,271.6,272.4,274.1,274.9,279.3,279.7
2017,279.5,281.8,281.6,281.4,280.7,280.3,279.8,279.5,278.5,280.2,280.9,279.4
2018,280.8,281.2,281.7,282.0,282.9,283.4,283.6,283.6,282.8,281.3,281.7,282.5
2019,282.1,282.4,283.0,283.8,284.5,284.7,283.6,282.4,280.8,282.3,282.4,283.4
2020,283.3,283.9,271.3,135.5,140.9,163.4,194.5,199.2,211.2,216.0,217.1,213.9
2021,208.8,213.4,217.3,222.5,225.7,228.4,236.2,238.4,241.8,244.8,246.2,249.3
2022,245.2,249.3,249.6,249.2,249.2,247.3,249.8,250.1,251.5,252.7,254.3,254.3
2023,257.9,259.0,260.1,261.4,262.5,263.4,264.0,263.4,262.8,263.0,260.9,258.3
2024,260.5,262.5,262.2,265.0,264.4,263.3(P),,,,,,
