Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,148.5,148.3,149.3,150.5,151.4,151.8,151.7,152.2,152.3,152.6,152.9,152.8
2015,151.7,152.3,152.0,153.7,154.9,155.1,156.2,157.2,157.7,160.0,159.9,160.5
2016,161.3,160.6,162.1,162.4,162.2,162.1,162.5,162.6,163.3,163.5,163.3,163.7
2017,163.3,164.2,163.3,163.5,163.4,164.1,163.6,164.0,164.0,163.5,163.8,164.1
2018,162.7,164.4,164.5,163.9,164.0,164.1,165.0,165.3,165.4,165.6,165.4,165.4
2019,168.1,166.0,166.6,166.9,167.1,167.5,167.9,168.2,168.7,168.8,168.6,168.2
2020,168.2,168.1,166.9,151.9,156.4,158.8,159.7,160.1,161.4,161.6,161.9,162.4
2021,162.4,161.9,162.1,161.7,161.6,160.4,161.5,161.4,161.4,162.0,162.6,162.8
2022,162.7,163.3,162.6,162.4,162.5,161.4,162.7,162.9,163.1,162.7,162.1,161.8
2023,163.2,162.6,162.4,162.4,162.2,162.0,161.5,161.4,161.0,159.7,159.7,159.0
2024,156.9,157.2,157.3,157.0,156.9,157.7(P),,,,,,
