Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,124.8,126.8,126.1,126.9,127.6,128.7,129.4,129.7,130.7,131.6,133.0,133.5
2015,133.7,133.5,133.6,135.9,139.1,139.6,140.0,140.9,141.3,142.6,143.1,145.0
2016,145.5,144.4,146.3,146.7,146.0,145.7,146.4,146.2,147.0,147.3,147.8,149.1
2017,148.9,148.3,148.9,149.6,150.5,151.5,153.1,153.8,154.3,155.1,155.5,154.9
2018,154.6,157.2,157.4,157.6,158.5,159.2,158.9,159.0,159.6,160.8,159.8,161.1
2019,161.7,161.7,161.5,162.3,162.6,162.9,163.1,163.9,164.5,164.0,164.2,164.2
2020,164.7,165.9,165.4,113.7,129.2,147.1,151.5,155.1,157.0,158.8,160.1,161.1
2021,161.1,161.4,162.7,162.5,163.0,163.1,164.9,165.2,165.5,167.1,167.6,168.1
2022,168.3,168.8,168.8,170.1,169.7,170.2,170.0,170.1,170.8,170.9,171.2,171.5
2023,173.1,172.7,173.0,172.2,171.9,171.9,172.5,172.8,172.9,174.2,173.9,174.2
2024,173.9,174.9,176.0,176.0,177.5,178.8(P),,,,,,
