Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,86.6,87.1,87.2,87.5,87.8,88.0,88.1,87.8,88.1,88.1,88.6,88.7
2015,89.1,88.9,89.5,89.4,89.3,89.4,89.4,89.2,89.2,89.8,90.1,90.2
2016,90.5,90.6,90.4,90.7,87.3,90.5,90.8,91.4,91.6,91.5,91.4,91.5
2017,91.6,92.5,92.7,92.9,93.7,93.0,93.0,93.3,93.2,92.7,92.5,92.9
2018,93.0,92.9,92.4,92.4,91.3,92.2,91.8,92.1,92.6,93.4,92.7,93.0
2019,92.2,92.0,92.3,93.0,94.3,95.1,95.7,95.9,94.9,94.7,95.1,94.7
2020,95.4,95.6,96.2,90.8,89.2,88.3,87.2,87.3,88.9,90.5,90.8,90.5
2021,91.0,92.1,92.1,92.5,93.1,93.1,94.7,94.3,93.4,94.7,94.4,94.9
2022,95.3,95.3,95.4,96.4,97.4,98.2,98.2,98.5,99.3,98.7,98.4,98.4
2023,98.5,97.5,97.6,96.9,95.6,95.6,95.1,94.6,94.6,93.6,94.2,95.0
2024,93.7,93.4,92.7,92.8,92.6,92.8(P),,,,,,
