Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,1.0,1.0,1.0,1.0,1.1,1.0,1.0,1.0,1.0,1.0,1.1,1.0
2015,1.0,1.0,1.0,1.1,1.1,1.0,1.1,1.0,1.1,1.0,1.1,1.1
2016,1.1,1.1,1.1,1.1,1.2,1.1,1.1,1.1,1.1,1.1,1.1,1.1
2017,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.2,1.1
2018,1.1,1.1,1.1,1.1,1.1,1.0,1.0,1.0,1.0,1.0,1.1,1.0
2019,1.0,1.0,1.0,1.0,1.1,1.1,1.0,1.0,1.0,1.2,1.0,1.1
2020,1.0,1.0,1.0,0.9,1.1,1.1,0.9,0.9,1.0,0.9,1.0,0.9
2021,0.9,0.9,1.0,1.0,1.0,1.0,0.9,0.9,0.9,1.0,1.0,1.0
2022,1.0,0.9,1.0,1.0,1.0,0.9,0.9,0.9,0.9,1.0,1.0,0.9
2023,1.0,1.0,1.0,1.0,1.1,1.0,1.0,1.0,0.9,1.0,1.0,1.0
2024,1.1,1.0,1.1,1.0,1.0,1.0(P),,,,,,
