Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,559.3,560.1,561.5,562.1,561.9,561.4,560.9,550.9,563.3,564.9,567.0,568.9
2015,566.5,563.7,566.0,566.4,568.7,569.0,569.6,570.1,569.8,570.7,571.1,570.9
2016,571.1,572.1,573.8,574.3,574.1,573.6,576.4,576.6,575.6,575.9,575.3,576.3
2017,576.6,576.4,577.4,579.3,578.7,580.0,581.0,581.3,581.9,581.9,581.2,581.1
2018,581.1,581.7,580.5,580.5,581.3,581.8,579.9,579.2,578.6,577.8,578.7,578.7
2019,579.8,579.6,579.8,579.3,580.2,579.7,580.0,580.3,580.2,579.7,581.2,581.5
2020,580.2,578.4,575.8,464.4,467.6,492.9,511.9,521.1,527.7,540.3,542.5,545.4
2021,545.8,544.2,546.9,548.5,548.6,548.2,550.6,550.6,546.9,554.1,555.7,558.3
2022,559.3,562.5,563.5,566.1,562.4,561.8,565.3,565.5,564.3,563.9,562.1,562.7
2023,564.5,563.9,564.1,562.7,563.2,563.5,561.0,560.8,562.4,563.1,561.0,560.0
2024,558.9,560.2,560.0,560.2,560.4,560.9(P),,,,,,
