Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,137.8,140.0,138.1,135.8,140.5,142.3,142.6,144.0,144.9,144.6,145.4,146.3
2015,145.7,146.0,146.5,147.0,148.2,149.0,148.2,148.2,148.7,149.7,150.2,151.7
2016,152.5,153.1,154.0,156.9,155.1,153.6,153.9,154.1,155.8,156.8,159.2,156.3
2017,159.2,159.8,160.6,161.1,162.0,162.6,163.0,163.5,163.5,163.2,164.2,163.6
2018,165.4,166.9,168.0,166.0,168.9,170.4,170.3,170.5,169.3,171.3,171.2,171.4
2019,172.8,171.4,171.4,171.5,172.4,172.4,174.2,174.0,174.8,176.3,175.6,176.7
2020,177.4,177.9,177.8,103.3,146.2,162.3,166.1,170.5,171.9,172.6,172.5,174.1
2021,172.7,170.4,173.7,174.9,175.4,176.0,177.9,177.3,177.0,179.1,181.1,181.9
2022,180.0,182.2,183.1,183.2,183.9,183.6,183.4,183.6,183.9,183.6,185.3,185.9
2023,186.9,187.5,187.5,189.3,188.6,190.0,189.8,190.0,190.6,189.1,189.3,189.7
2024,192.7,195.8,201.2,204.3,204.1,204.4(P),,,,,,
