Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,204.5,204.6,204.5,204.0,204.9,204.7,204.8,204.8,205.0,204.7,205.1,205.8
2015,205.2,205.3,205.5,206.2,207.6,207.8,208.3,209.0,209.3,210.6,210.9,211.4
2016,211.7,211.9,212.1,213.0,213.6,213.8,214.8,215.3,215.7,216.3,216.6,217.5
2017,219.0,219.1,218.9,219.1,218.9,219.8,219.3,219.2,219.2,218.8,219.0,219.0
2018,219.4,219.6,220.2,220.3,220.6,221.6,221.2,221.2,221.0,221.4,221.3,221.7
2019,222.0,222.3,222.8,223.5,224.4,225.0,225.6,225.9,226.4,227.0,228.0,228.5
2020,228.0,229.0,228.1,215.0,215.9,218.8,221.1,223.4,225.6,227.2,228.4,228.9
2021,230.4,231.0,231.8,232.1,231.9,232.2,233.1,233.3,232.7,233.6,234.2,234.1
2022,232.5,233.4,233.8,234.3,234.5,232.0,232.4,231.9,231.9,231.4,230.9,231.0
2023,231.3,231.4,231.4,231.3,231.2,231.4,231.0,231.1,232.2,231.0,231.0,230.8
2024,231.1,228.8,227.5,226.3,227.4,227.0(P),,,,,,
