Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,644.9,646.0,646.2,644.9,646.2,646.4,643.4,644.4,644.9,644.9,645.2,647.3
2015,649.1,649.1,650.4,648.7,651.0,652.2,652.9,656.1,653.9,660.1,660.2,663.1
2016,662.4,663.3,663.0,666.4,667.9,667.3,670.2,670.3,671.3,671.0,671.5,672.8
2017,672.3,672.7,672.7,675.9,677.9,678.2,679.5,680.4,681.5,682.0,683.0,683.8
2018,685.7,686.5,687.2,686.6,686.1,687.5,685.3,685.1,684.0,685.1,685.4,686.2
2019,686.3,686.6,688.7,688.5,688.7,688.1,688.2,690.5,690.3,690.7,691.3,691.1
2020,690.5,690.9,687.0,583.5,585.1,614.0,626.2,635.4,642.1,644.3,646.0,646.7
2021,649.9,651.3,653.7,651.7,649.6,650.3,651.8,651.2,650.3,654.5,655.4,653.1
2022,654.1,655.4,657.1,660.4,660.8,660.6,664.9,665.6,667.1,668.9,671.6,675.4
2023,678.0,679.6,681.1,684.3,686.3,690.3,691.1,692.2,692.6,694.0,696.8,695.3
2024,690.6,698.3,699.5,701.8,704.4,706.8(P),,,,,,
