Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,105.1,105.4,105.7,102.2,107.1,108.7,108.8,109.3,109.7,110.1,109.4,110.8
2015,111.8,112.6,113.4,115.0,115.4,116.0,116.6,116.6,116.1,116.3,116.0,116.4
2016,114.0,114.5,114.6,120.3,117.8,116.4,116.5,115.6,116.0,116.2,117.2,115.5
2017,117.9,119.2,120.5,119.1,120.3,120.2,119.8,119.5,119.7,120.6,119.7,120.9
2018,120.8,120.9,120.1,117.8,120.5,122.5,123.1,123.0,123.3,123.3,124.4,124.2
2019,124.7,124.2,124.5,126.0,128.1,128.2,128.1,128.9,130.2,129.8,126.9,127.6
2020,128.8,128.5,127.9,117.9,123.5,121.9,120.7,121.8,122.4,124.1,122.4,127.9
2021,128.9,124.9,128.2,132.4,130.0,131.1,132.9,131.7,130.6,131.1,131.6,131.6
2022,130.7,131.8,131.4,133.4,133.2,133.4,134.1,134.1,134.7,134.8,134.6,131.6
2023,135.4,135.0,134.2,133.9,136.0,136.8,136.2,135.8,134.5,134.0,133.8,133.9
2024,133.1,131.3,133.9,135.2,135.3,135.6(P),,,,,,
