Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,416.4,417.8,418.4,419.3,419.0,419.4,419.9,419.0,418.9,419.6,419.3,418.7
2015,418.3,418.3,417.6,420.4,420.9,417.4,419.2,418.7,417.9,419.5,419.6,420.7
2016,420.3,420.3,421.9,418.0,417.9,414.8,418.9,422.6,420.1,419.6,419.1,417.6
2017,423.9,423.2,423.1,421.2,418.5,420.6,423.2,424.3,426.1,426.3,426.6,425.6
2018,426.1,426.7,426.2,425.3,424.9,426.7,425.8,426.0,424.9,425.4,424.7,426.0
2019,425.4,424.5,425.1,425.8,426.6,427.1,426.8,427.1,426.4,425.5,425.0,425.2
2020,428.0,427.3,427.4,396.9,388.8,390.7,391.9,402.5,405.4,404.8,403.0,401.6
2021,398.1,400.0,402.1,403.4,403.6,404.8,405.9,406.4,404.8,405.4,404.8,408.3
2022,406.2,406.1,406.2,407.3,407.0,408.0,409.0,409.7,410.4,410.9,412.5,413.0
2023,413.1,414.2,414.5,415.4,416.1,418.7,417.6,418.4,423.8,425.9,426.5,428.4
2024,432.6,435.0,438.0,436.6,437.9,438.0(P),,,,,,
