Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,309.4,309.9,309.2,310.6,311.1,311.6,312.7,313.3,313.6,314.0,315.0,316.6
2015,316.5,316.7,317.2,317.3,317.5,317.5,317.5,317.6,317.8,318.2,318.4,318.2
2016,318.1,318.1,318.1,318.3,317.5,317.1,317.9,318.2,318.1,317.7,317.5,317.3
2017,317.7,318.0,318.2,318.0,318.3,318.8,318.6,318.1,317.8,319.0,319.2,318.9
2018,319.6,319.9,320.0,320.9,321.4,322.5,322.2,322.4,323.0,323.1,324.0,324.7
2019,324.5,324.7,324.8,324.4,324.3,324.4,324.4,324.1,323.6,324.0,322.8,322.8
2020,322.5,322.4,322.5,301.8,301.7,304.2,302.1,305.4,306.2,307.1,307.3,307.8
2021,309.4,309.9,311.0,310.4,310.8,311.0,313.4,314.4,314.6,316.8,318.6,318.8
2022,318.3,320.2,321.5,323.3,324.1,322.0,325.0,325.4,325.5,325.0,325.5,326.7
2023,327.0,326.9,326.8,326.6,325.9,326.7,325.5,325.8,327.2,323.3,324.6,324.2
2024,324.2,324.8,324.2,325.3,320.8,319.2(P),,,,,,
