Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,7.0,7.0,7.0,7.1,7.1,7.1,7.3,7.2,7.2,7.3,7.3,7.3
2015,7.3,7.2,7.3,7.3,7.3,7.2,7.2,6.8,6.7,6.6,6.6,6.6
2016,5.9,5.7,5.9,6.0,6.4,6.2,6.3,6.3,6.4,6.6,6.4,6.4
2017,6.5,6.5,6.5,6.6,6.6,6.6,6.5,6.5,6.5,6.6,6.7,6.8
2018,6.7,6.7,6.7,6.4,6.5,6.7,6.7,6.7,6.7,6.6,6.6,6.6
2019,6.5,6.5,6.6,6.6,6.7,6.6,6.6,6.7,6.6,6.6,6.5,6.5
2020,6.6,6.7,6.5,6.4,5.5,5.4,5.5,6.2,6.3,6.5,6.4,6.4
2021,6.4,6.3,6.4,6.6,6.6,6.6,6.6,6.6,6.5,6.5,6.6,6.6
2022,6.6,6.6,6.5,6.5,6.6,6.2,6.2,6.2,6.3,6.4,6.4,6.3
2023,6.2,6.0,6.1,6.5,6.5,6.6,6.5,6.6,6.5,6.6,6.6,6.9
2024,6.9,6.8,6.7,6.6,6.5,6.6(P),,,,,,
