Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,363.6,363.9,364.0,362.4,365.0,366.8,367.7,369.3,367.7,368.6,371.7,369.9
2015,369.2,369.5,370.4,372.2,374.0,373.1,373.4,373.2,370.8,374.5,376.2,375.1
2016,375.2,376.1,375.1,378.6,377.3,376.8,379.1,378.0,380.7,380.4,379.2,380.1
2017,379.9,378.1,381.1,379.5,379.0,379.4,378.7,378.3,379.4,378.3,380.3,379.8
2018,383.4,382.3,381.2,380.3,381.1,381.3,382.6,382.2,382.7,383.1,382.8,382.0
2019,381.7,382.5,383.2,384.1,384.6,385.1,384.2,384.6,382.9,382.2,382.6,382.6
2020,382.4,382.6,380.2,345.5,344.7,348.4,351.1,354.6,355.4,361.4,365.6,365.3
2021,368.0,368.5,371.8,371.9,373.1,372.9,373.9,373.8,371.4,377.2,378.6,381.6
2022,381.8,384.1,383.8,386.5,387.7,387.3,390.0,390.4,394.4,389.4,388.6,387.5
2023,389.8,389.0,390.9,389.0,388.6,390.3,385.3,383.8,383.8,381.8,380.7,378.9
2024,380.0,380.0,379.0,377.8,370.7,367.7(P),,,,,,
