Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,508.5,508.7,508.7,509.6,510.7,511.4,512.1,513.0,512.3,513.3,514.2,516.8
2015,515.2,515.8,516.5,517.9,519.3,520.2,520.1,521.3,521.4,522.5,522.9,522.7
2016,521.6,524.3,524.8,527.4,526.8,525.2,529.1,529.9,529.7,529.2,527.6,528.5
2017,531.9,532.6,532.9,533.4,532.5,533.4,533.4,533.1,534.1,532.8,533.9,533.7
2018,534.5,535.7,536.1,533.0,534.8,533.8,534.6,534.2,534.4,530.8,533.2,532.3
2019,532.9,531.4,530.6,530.4,530.0,528.6,528.8,529.2,529.0,530.0,530.8,531.1
2020,530.9,530.0,527.6,463.6,472.5,487.0,494.6,501.5,504.4,508.4,509.9,511.9
2021,513.1,513.0,514.6,510.9,511.7,511.8,515.5,516.0,510.0,517.3,519.0,520.0
2022,519.4,526.3,525.4,527.2,526.3,524.0,526.5,526.7,527.1,527.5,527.1,527.7
2023,529.1,530.3,531.6,531.1,531.5,532.4,531.6,531.6,533.0,533.5,536.2,536.2
2024,537.1,536.7,536.2,536.0,534.0,533.4(P),,,,,,
