Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,43.4,43.4,43.4,43.2,43.4,43.3,43.3,43.5,43.4,43.4,43.6,43.5
2015,43.6,43.4,43.5,43.5,43.7,43.5,43.6,43.7,43.6,43.9,44.0,44.3
2016,44.1,44.0,44.0,44.2,44.1,43.9,44.1,44.2,44.1,44.2,44.1,44.1
2017,44.0,43.9,44.1,44.1,44.0,44.2,44.1,44.1,44.3,44.4,44.2,44.3
2018,44.4,44.3,44.5,44.5,44.5,44.4,44.6,44.5,44.5,44.4,44.4,44.4
2019,44.5,44.4,44.2,44.4,44.3,44.3,44.2,44.0,43.8,43.7,43.7,43.6
2020,43.3,43.4,43.1,42.1,42.0,42.0,41.9,41.8,41.9,41.9,41.9,41.8
2021,42.1,41.9,42.2,42.4,42.5,42.6,42.6,42.7,42.5,42.9,43.0,43.1
2022,43.5,43.5,43.5,43.7,43.8,44.0,44.5,44.5,44.7,44.9,45.1,45.2
2023,45.3,45.3,45.4,45.9,45.3,45.3,45.2,45.2,45.5,45.6,45.2,45.2
2024,45.6,45.4,45.2,44.7,45.5,45.1(P),,,,,,
