Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,244.4,244.2,244.3,244.7,244.5,244.4,244.5,244.4,244.5,244.4,244.1,243.9
2015,243.7,243.3,243.4,242.9,243.9,243.3,243.1,243.8,243.0,243.3,243.5,243.3
2016,244.0,244.4,244.2,245.3,244.7,244.2,243.9,243.4,243.7,243.6,243.5,243.8
2017,243.2,243.1,243.6,242.6,242.1,241.7,242.6,242.4,242.5,242.4,242.1,242.1
2018,241.6,240.9,241.4,241.0,240.8,241.3,240.6,241.0,240.9,240.6,240.7,239.9
2019,240.8,241.2,241.7,241.5,241.9,241.6,241.2,242.2,243.0,242.4,242.2,242.0
2020,242.8,243.2,242.8,230.1,230.6,232.5,232.0,235.1,234.9,234.2,233.4,233.6
2021,233.3,233.5,233.7,234.0,234.3,234.3,234.7,234.7,234.2,233.7,233.9,233.6
2022,232.9,232.3,232.2,232.1,231.8,232.3,234.0,232.6,233.0,233.4,233.5,233.7
2023,234.9,235.5,235.7,235.7,236.5,236.2,236.6,237.0,237.0,238.5,238.3,238.5
2024,238.8,239.1,239.2,239.6,239.7,239.7(P),,,,,,
