Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,125.6,124.9,125.5,126.0,126.3,126.2,125.5,124.7,125.7,126.5,126.5,126.7
2015,126.8,127.4,127.0,128.1,128.6,128.7,129.3,129.4,129.9,130.8,130.8,131.6
2016,131.9,132.5,132.6,132.5,132.4,132.0,133.3,133.3,134.0,133.6,134.2,134.0
2017,133.9,134.0,134.0,134.7,135.0,134.8,135.3,134.9,134.6,134.8,135.0,134.7
2018,134.5,134.6,135.2,134.8,135.1,135.2,134.2,135.4,134.9,134.9,134.6,134.9
2019,136.4,135.9,135.2,136.7,136.1,136.3,136.2,136.7,136.9,136.4,136.8,136.7
2020,136.7,137.0,134.3,84.3,94.9,110.5,114.6,117.2,118.9,121.3,123.0,122.7
2021,123.5,122.3,123.8,123.7,125.0,125.4,127.2,127.1,127.7,128.9,129.1,130.1
2022,130.1,131.3,131.3,131.9,132.4,132.7,133.1,133.1,133.7,133.3,133.6,133.7
2023,134.1,134.1,134.5,134.2,133.8,134.1,134.0,133.8,133.8,134.4,134.0,134.8
2024,135.2,136.3,138.1,135.3,135.7,134.9(P),,,,,,
