Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,139.0,139.4,139.4,139.5,139.5,139.4,139.1,139.4,139.4,140.2,140.1,140.3
2015,140.0,140.5,140.4,141.1,141.9,142.3,142.2,142.3,142.7,142.5,142.5,142.4
2016,143.4,143.3,143.3,143.3,142.7,142.3,143.4,143.5,143.5,143.2,143.1,143.5
2017,143.7,144.0,143.9,143.8,144.0,144.5,144.2,144.7,144.1,144.1,144.4,144.7
2018,144.4,144.1,144.4,144.5,144.6,144.8,145.2,145.3,145.4,145.7,145.5,145.4
2019,146.3,146.9,147.1,146.6,146.5,146.3,147.1,147.1,147.0,147.1,147.1,147.3
2020,146.8,146.6,146.1,122.7,130.6,136.3,137.5,139.5,141.0,141.8,142.7,142.7
2021,142.5,142.3,141.7,141.4,141.4,141.5,144.0,144.0,145.5,146.3,147.0,147.5
2022,146.3,148.2,148.4,148.5,148.8,147.9,148.2,147.5,147.3,147.1,146.4,145.1
2023,147.0,146.3,146.3,144.2,143.7,143.7,143.3,143.2,143.3,146.7,145.0,143.7
2024,144.9,143.7,145.0,144.6,144.5,143.9(P),,,,,,
