Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,100.6,98.7,98.8,99.9,100.1,100.5,101.3,101.5,102.3,102.1,103.9,103.8
2015,103.4,103.1,102.8,104.1,105.1,105.3,105.9,107.4,107.0,108.6,108.8,108.9
2016,108.6,109.2,109.2,107.8,107.6,107.3,108.8,108.0,108.0,107.7,107.2,107.3
2017,107.1,108.1,108.1,108.4,108.4,108.4,107.8,107.0,106.7,107.1,107.7,107.6
2018,108.1,107.7,108.4,109.0,108.7,109.0,108.7,109.3,110.5,111.1,112.0,110.7
2019,109.8,109.2,108.4,108.2,109.2,109.1,108.9,109.6,108.6,107.3,107.7,105.1
2020,109.5,110.5,109.1,97.0,99.7,104.2,105.6,107.8,108.4,112.6,113.6,113.2
2021,113.5,112.5,114.0,113.3,114.1,113.9,115.4,115.5,115.4,117.9,117.1,117.1
2022,117.3,118.8,118.3,118.3,118.0,117.9,118.9,118.4,118.6,118.2,117.8,115.9
2023,118.6,118.1,118.3,118.0,118.4,118.4,116.8,116.9,117.5,115.7,115.0,115.1
2024,117.0,117.1,116.2,116.7,115.3,115.7(P),,,,,,
