Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,1118.9,1114.5,1116.5,1118.1,1118.7,1119.8,1120.4,1120.7,1121.9,1123.4,1126.2,1127.1
2015,1125.3,1126.7,1124.6,1128.9,1133.3,1132.6,1133.7,1135.5,1136.5,1140.5,1141.2,1142.8
2016,1145.0,1146.9,1146.8,1146.0,1145.0,1141.8,1148.1,1146.6,1148.1,1147.7,1148.0,1148.9
2017,1148.9,1150.7,1151.5,1151.0,1150.0,1151.4,1152.1,1152.1,1152.2,1152.3,1153.1,1152.2
2018,1150.4,1149.8,1153.2,1154.2,1154.8,1155.1,1152.6,1154.6,1155.3,1155.4,1156.4,1154.1
2019,1158.9,1157.9,1158.2,1157.6,1159.5,1159.2,1158.8,1159.5,1158.7,1155.8,1156.6,1154.4
2020,1159.8,1161.2,1155.3,1012.5,1047.1,1083.5,1091.9,1107.9,1112.8,1121.6,1126.8,1126.9
2021,1125.7,1121.4,1128.6,1127.1,1131.2,1131.5,1141.1,1141.2,1143.3,1151.9,1154.2,1155.6
2022,1155.3,1162.0,1161.4,1162.7,1164.0,1165.0,1170.5,1168.5,1171.1,1171.0,1171.9,1171.2
2023,1179.5,1179.7,1180.7,1179.4,1179.1,1180.9,1178.5,1179.6,1181.9,1185.5,1179.6,1179.7
2024,1183.9,1185.4,1190.3,1189.8,1191.2,1188.2(P),,,,,,
