Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,219.1,219.1,219.7,219.7,219.6,220.3,220.8,221.3,221.3,221.8,222.4,223.1
2015,222.8,223.2,223.3,224.3,225.0,225.3,225.1,225.3,225.8,226.5,227.1,227.4
2016,228.1,228.4,228.6,229.1,229.7,229.3,230.3,230.2,231.1,231.7,231.7,231.7
2017,231.7,231.7,231.3,231.2,230.6,231.2,231.6,232.2,232.2,232.1,232.0,231.9
2018,231.2,231.4,232.0,231.3,231.8,232.0,231.4,231.1,231.3,230.8,232.0,231.2
2019,232.4,231.6,231.8,232.2,231.8,231.4,231.2,230.8,230.4,230.3,230.0,230.0
2020,231.1,230.6,230.5,213.0,220.5,226.0,228.0,231.6,231.6,232.8,234.7,234.9
2021,233.3,232.5,235.1,233.1,234.6,234.2,236.3,236.0,236.8,239.9,240.8,240.3
2022,240.6,242.7,242.6,243.4,243.5,243.4,244.1,244.8,246.2,246.2,246.9,248.0
2023,248.5,248.4,248.1,248.3,247.9,248.3,248.0,248.1,248.1,248.1,245.6,245.3
2024,244.5,244.7,246.1,247.0,247.6,247.3(P),,,,,,
